"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","EXCH","TOT","NATUSD","A","2021",0.845494,
"NLD","EXCH","TOT","NATUSD","A","2022",0.949624,
"NZL","EXCH","TOT","NATUSD","A","2019",1.517875,
"NZL","EXCH","TOT","NATUSD","A","2020",1.542058,
"NZL","EXCH","TOT","NATUSD","A","2021",1.4138,
"NZL","EXCH","TOT","NATUSD","A","2022",1.577183,
"NOR","EXCH","TOT","NATUSD","A","2019",8.8,
"NOR","EXCH","TOT","NATUSD","A","2020",9.415833,
"NOR","EXCH","TOT","NATUSD","A","2021",8.59,
"NOR","EXCH","TOT","NATUSD","A","2022",9.614167,
"POL","EXCH","TOT","NATUSD","A","2019",3.839375,
"POL","EXCH","TOT","NATUSD","A","2020",3.899742,
"POL","EXCH","TOT","NATUSD","A","2021",3.861917,
"POL","EXCH","TOT","NATUSD","A","2022",4.457758,
"PRT","EXCH","TOT","NATUSD","A","2019",0.893276,
"PRT","EXCH","TOT","NATUSD","A","2020",0.875506,
"PRT","EXCH","TOT","NATUSD","A","2021",0.845494,
"PRT","EXCH","TOT","NATUSD","A","2022",0.949624,
"SVK","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVK","EXCH","TOT","NATUSD","A","2020",0.875506,
"SVK","EXCH","TOT","NATUSD","A","2021",0.845494,
"SVK","EXCH","TOT","NATUSD","A","2022",0.949624,
"ESP","EXCH","TOT","NATUSD","A","2019",0.893276,
"ESP","EXCH","TOT","NATUSD","A","2020",0.875506,
"ESP","EXCH","TOT","NATUSD","A","2021",0.845494,
"ESP","EXCH","TOT","NATUSD","A","2022",0.949624,
"SWE","EXCH","TOT","NATUSD","A","2019",9.458349,
"SWE","EXCH","TOT","NATUSD","A","2020",9.210309,
"SWE","EXCH","TOT","NATUSD","A","2021",8.576567,
"SWE","EXCH","TOT","NATUSD","A","2022",10.114251,
"CHE","EXCH","TOT","NATUSD","A","2019",0.993709,
"CHE","EXCH","TOT","NATUSD","A","2020",0.938965,
"CHE","EXCH","TOT","NATUSD","A","2021",0.913846,
"CHE","EXCH","TOT","NATUSD","A","2022",0.954832,
"TUR","EXCH","TOT","NATUSD","A","2019",5.673819,
"TUR","EXCH","TOT","NATUSD","A","2020",7.008605,
"TUR","EXCH","TOT","NATUSD","A","2021",8.850408,
"GBR","EXCH","TOT","NATUSD","A","2019",0.783445,
"GBR","EXCH","TOT","NATUSD","A","2020",0.78,
"GBR","EXCH","TOT","NATUSD","A","2021",0.727065,
"GBR","EXCH","TOT","NATUSD","A","2022",0.811302,
"USA","EXCH","TOT","NATUSD","A","2019",1,
"USA","EXCH","TOT","NATUSD","A","2020",1,
"USA","EXCH","TOT","NATUSD","A","2021",1,
"USA","EXCH","TOT","NATUSD","A","2022",1,
"BRA","EXCH","TOT","NATUSD","A","2019",3.944471,
"BRA","EXCH","TOT","NATUSD","A","2020",5.155179,
"BRA","EXCH","TOT","NATUSD","A","2021",5.394401,
"BRA","EXCH","TOT","NATUSD","A","2022",5.16397,
"CHL","EXCH","TOT","NATUSD","A","2019",702.897423,
"CHL","EXCH","TOT","NATUSD","A","2020",792.727206,
"CHL","EXCH","TOT","NATUSD","A","2021",758.955379,
"CHL","EXCH","TOT","NATUSD","A","2022",873.31419,
"CHN","EXCH","TOT","NATUSD","A","2019",6.908385,
"CHN","EXCH","TOT","NATUSD","A","2020",6.900767,
"CHN","EXCH","TOT","NATUSD","A","2021",6.448975,
"CHN","EXCH","TOT","NATUSD","A","2022",6.737158,
"COL","EXCH","TOT","NATUSD","A","2019",3281.622194,
"COL","EXCH","TOT","NATUSD","A","2020",3693.275833,
"COL","EXCH","TOT","NATUSD","A","2021",3744.244167,
"COL","EXCH","TOT","NATUSD","A","2022",4256.194167,
"EST","EXCH","TOT","NATUSD","A","2019",0.893276,
"EST","EXCH","TOT","NATUSD","A","2020",0.875506,
"EST","EXCH","TOT","NATUSD","A","2021",0.845494,
"EST","EXCH","TOT","NATUSD","A","2022",0.949624,
"IND","EXCH","TOT","NATUSD","A","2019",70.420341,
"IND","EXCH","TOT","NATUSD","A","2020",74.099567,
"IND","EXCH","TOT","NATUSD","A","2021",73.918013,
"IND","EXCH","TOT","NATUSD","A","2022",78.604491,
"IDN","EXCH","TOT","NATUSD","A","2019",14147.671361,
"IDN","EXCH","TOT","NATUSD","A","2020",14582.203468,
"IDN","EXCH","TOT","NATUSD","A","2021",14308.143901,
"IDN","EXCH","TOT","NATUSD","A","2022",14849.853936,
"ISR","EXCH","TOT","NATUSD","A","2019",3.564527,
"ISR","EXCH","TOT","NATUSD","A","2020",3.442406,
"ISR","EXCH","TOT","NATUSD","A","2021",3.230198,
"ISR","EXCH","TOT","NATUSD","A","2022",3.359614,
"RUS","EXCH","TOT","NATUSD","A","2019",64.737658,
"RUS","EXCH","TOT","NATUSD","A","2020",72.104908,
"RUS","EXCH","TOT","NATUSD","A","2021",73.65435,
"SVN","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVN","EXCH","TOT","NATUSD","A","2020",0.875506,
"SVN","EXCH","TOT","NATUSD","A","2021",0.845494,
"SVN","EXCH","TOT","NATUSD","A","2022",0.949624,
"ZAF","EXCH","TOT","NATUSD","A","2019",14.448427,
"ZAF","EXCH","TOT","NATUSD","A","2020",16.459105,
"ZAF","EXCH","TOT","NATUSD","A","2021",14.778678,
"ZAF","EXCH","TOT","NATUSD","A","2022",16.355853,
"LVA","EXCH","TOT","NATUSD","A","2019",0.893276,
"LVA","EXCH","TOT","NATUSD","A","2020",0.875506,
"LVA","EXCH","TOT","NATUSD","A","2021",0.845494,
"LVA","EXCH","TOT","NATUSD","A","2022",0.949624,
"LTU","EXCH","TOT","NATUSD","A","2019",0.893276,
"LTU","EXCH","TOT","NATUSD","A","2020",0.875506,
"LTU","EXCH","TOT","NATUSD","A","2021",0.845494,
"LTU","EXCH","TOT","NATUSD","A","2022",0.949624,
"SAU","EXCH","TOT","NATUSD","A","2019",3.75,
"SAU","EXCH","TOT","NATUSD","A","2020",3.75,
"SAU","EXCH","TOT","NATUSD","A","2021",3.75,
"SAU","EXCH","TOT","NATUSD","A","2022",3.75,
"EA19","EXCH","TOT","NATUSD","A","2019",0.893276,
"EA19","EXCH","TOT","NATUSD","A","2020",0.875506,
"EA19","EXCH","TOT","NATUSD","A","2021",0.845494,
"EA19","EXCH","TOT","NATUSD","A","2022",0.949624,
"ARG","EXCH","TOT","NATUSD","A","2019",48.147892,
"ARG","EXCH","TOT","NATUSD","A","2020",70.539167,
"ARG","EXCH","TOT","NATUSD","A","2021",94.990742,
"ARG","EXCH","TOT","NATUSD","A","2022",130.61655,
"CRI","EXCH","TOT","NATUSD","A","2019",587.294596,
"CRI","EXCH","TOT","NATUSD","A","2020",584.900855,
"CRI","EXCH","TOT","NATUSD","A","2021",620.78472,
"CRI","EXCH","TOT","NATUSD","A","2022",647.135818,
"BGR","EXCH","TOT","NATUSD","A","2019",1.747042,
"BGR","EXCH","TOT","NATUSD","A","2020",1.716333,
"BGR","EXCH","TOT","NATUSD","A","2021",1.653775,
"BGR","EXCH","TOT","NATUSD","A","2022",1.860142,
"HRV","EXCH","TOT","NATUSD","A","2019",0.878963,
"HRV","EXCH","TOT","NATUSD","A","2020",0.877836,
"HRV","EXCH","TOT","NATUSD","A","2021",0.844128,
"HRV","EXCH","TOT","NATUSD","A","2022",0.950261,
"CYP","EXCH","TOT","NATUSD","A","2019",0.893276,
"CYP","EXCH","TOT","NATUSD","A","2020",0.875506,
"CYP","EXCH","TOT","NATUSD","A","2021",0.845494,
"CYP","EXCH","TOT","NATUSD","A","2022",0.949624,
"MLT","EXCH","TOT","NATUSD","A","2019",0.893276,
"MLT","EXCH","TOT","NATUSD","A","2020",0.875506,
"MLT","EXCH","TOT","NATUSD","A","2021",0.845494,
"MLT","EXCH","TOT","NATUSD","A","2022",0.949624,
"ROU","EXCH","TOT","NATUSD","A","2019",4.237925,
"ROU","EXCH","TOT","NATUSD","A","2020",4.243992,
"ROU","EXCH","TOT","NATUSD","A","2021",4.160417,
"ROU","EXCH","TOT","NATUSD","A","2022",4.688475,
"MKD","EXCH","TOT","NATUSD","A","2019",54.9472,
"MKD","EXCH","TOT","NATUSD","A","2020",54.144325,
"MKD","EXCH","TOT","NATUSD","A","2021",52.102158,
"MKD","EXCH","TOT","NATUSD","A","2022",58.574392,
"MDG","EXCH","TOT","NATUSD","A","2019",3618.321858,
"MDG","EXCH","TOT","NATUSD","A","2020",3787.754058,
"MDG","EXCH","TOT","NATUSD","A","2021",3829.977849,
"MDG","EXCH","TOT","NATUSD","A","2022",4096.116184,
"MAR","EXCH","TOT","NATUSD","A","2019",9.617076,
"MAR","EXCH","TOT","NATUSD","A","2020",9.496847,
"MAR","EXCH","TOT","NATUSD","A","2021",8.988484,
"MAR","EXCH","TOT","NATUSD","A","2022",10.16066,
"ZMB","EXCH","TOT","NATUSD","A","2019",12.89,
"ZMB","EXCH","TOT","NATUSD","A","2020",18.344093,
"ZMB","EXCH","TOT","NATUSD","A","2021",20.018487,
"ZMB","EXCH","TOT","NATUSD","A","2022",16.961762,
"SRB","EXCH","TOT","NATUSD","A","2019",105.249558,
"SRB","EXCH","TOT","NATUSD","A","2020",103.163292,
"SRB","EXCH","TOT","NATUSD","A","2021",99.395942,
"SRB","EXCH","TOT","NATUSD","A","2022",111.662183,
"HKG","EXCH","TOT","NATUSD","A","2019",7.835917,
"HKG","EXCH","TOT","NATUSD","A","2020",7.75725,
"HKG","EXCH","TOT","NATUSD","A","2021",7.77325,
"HKG","EXCH","TOT","NATUSD","A","2022",7.831417,
"EU27_2020","EXCH","TOT","NATUSD","A","2019",0.893276,
"EU27_2020","EXCH","TOT","NATUSD","A","2020",0.875506,
"EU27_2020","EXCH","TOT","NATUSD","A","2021",0.845494,
"EU27_2020","EXCH","TOT","NATUSD","A","2022",0.949624,
"ALB","EXCH","TOT","NATUSD","A","2019",109.850833,
"ALB","EXCH","TOT","NATUSD","A","2020",108.65,
"ALB","EXCH","TOT","NATUSD","A","2021",103.52,
"ALB","EXCH","TOT","NATUSD","A","2022",113.041667,
"SGP","EXCH","TOT","NATUSD","A","2019",1.364158,
"SGP","EXCH","TOT","NATUSD","A","2020",1.379742,
"SGP","EXCH","TOT","NATUSD","A","2021",1.343483,
"SGP","EXCH","TOT","NATUSD","A","2022",1.378667,
"GEO","EXCH","TOT","NATUSD","A","2019",2.818145,
"GEO","EXCH","TOT","NATUSD","A","2020",3.109017,
"GEO","EXCH","TOT","NATUSD","A","2021",3.221558,
"GEO","EXCH","TOT","NATUSD","A","2022",2.9162,
"CMR","EXCH","TOT","NATUSD","A","2019",585.911013,
"CMR","EXCH","TOT","NATUSD","A","2020",575.586005,
"CMR","EXCH","TOT","NATUSD","A","2021",554.530675,
"CMR","EXCH","TOT","NATUSD","A","2022",623.759701,
"SEN","EXCH","TOT","NATUSD","A","2019",585.911013,
"SEN","EXCH","TOT","NATUSD","A","2020",575.586005,
"SEN","EXCH","TOT","NATUSD","A","2021",554.530675,
"SEN","EXCH","TOT","NATUSD","A","2022",623.759701,
